chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
D:\Tests\jfreechart\src\test\java\org\jfree\data\gantt\SlidingGanttCategoryDatasetTest.java,SlidingGanttCategoryDatasetTest,160,54,0.3375,6,0.05625
D:\Tests\jfreechart\src\test\java\org\jfree\data\gantt\TaskSeriesCollectionTest.java,TaskSeriesCollectionTest,574,144,0.2508710801393728,25,0.010034843205574913
D:\Tests\jfreechart\src\test\java\org\jfree\data\gantt\TaskSeriesTest.java,TaskSeriesTest,108,51,0.4722222222222222,4,0.11805555555555555
D:\Tests\jfreechart\src\test\java\org\jfree\data\gantt\TaskTest.java,TaskTest,110,50,0.45454545454545453,4,0.11363636363636363
D:\Tests\jfreechart\src\test\java\org\jfree\data\gantt\XYTaskDatasetTest.java,XYTaskDatasetTest,121,49,0.4049586776859504,3,0.1349862258953168
D:\Tests\jfreechart\src\test\java\org\jfree\data\flow\DefaultFlowDatasetTest.java,DefaultFlowDatasetTest,116,59,0.5086206896551724,6,0.08477011494252873
D:\Tests\jfreechart\src\test\java\org\jfree\data\flow\FlowKeyTest.java,FlowKeyTest,82,47,0.573170731707317,3,0.19105691056910568
D:\Tests\jfreechart\src\test\java\org\jfree\data\flow\NodeKeyTest.java,NodeKeyTest,84,49,0.5833333333333334,3,0.19444444444444445
D:\Tests\jfreechart\src\main\java\org\jfree\data\ComparableObjectItem.java,ComparableObjectItem,153,97,0.6339869281045751,12,0.05283224400871459
D:\Tests\jfreechart\src\main\java\org\jfree\data\ComparableObjectSeries.java,ComparableObjectSeries,426,217,0.5093896713615024,53,0.009611125874745328
D:\Tests\jfreechart\src\main\java\org\jfree\data\DataUtils.java,DataUtils,247,122,0.4939271255060729,32,0.015435222672064777
D:\Tests\jfreechart\src\main\java\org\jfree\data\DefaultKeyedValue.java,DefaultKeyedValue,149,93,0.6241610738255033,10,0.06241610738255034
D:\Tests\jfreechart\src\main\java\org\jfree\data\DefaultKeyedValues.java,DefaultKeyedValues,413,211,0.5108958837772397,40,0.012772397094430992
D:\Tests\jfreechart\src\main\java\org\jfree\data\DefaultKeyedValues2D.java,DefaultKeyedValues2D,507,252,0.4970414201183432,55,0.009037116729424421
D:\Tests\jfreechart\src\main\java\org\jfree\data\DomainInfo.java,DomainInfo,74,68,0.918918918918919,1,0.918918918918919
D:\Tests\jfreechart\src\main\java\org\jfree\data\DomainOrder.java,DomainOrder,47,41,0.8723404255319149,1,0.8723404255319149
D:\Tests\jfreechart\src\main\java\org\jfree\data\ItemKey.java,ItemKey,47,43,0.9148936170212766,1,0.9148936170212766
D:\Tests\jfreechart\src\main\java\org\jfree\data\KeyedObject.java,KeyedObject,135,79,0.5851851851851851,11,0.0531986531986532
D:\Tests\jfreechart\src\main\java\org\jfree\data\KeyedObjects.java,KeyedObjects,315,166,0.526984126984127,34,0.01549953314659197
D:\Tests\jfreechart\src\main\java\org\jfree\data\KeyedObjects2D.java,KeyedObjects2D,462,218,0.47186147186147187,55,0.008579299488390398
D:\Tests\jfreechart\src\main\java\org\jfree\data\KeyedValue.java,KeyedValue,50,46,0.92,1,0.92
D:\Tests\jfreechart\src\main\java\org\jfree\data\KeyedValueComparator.java,KeyedValueComparator,151,67,0.44370860927152317,17,0.026100506427736658
D:\Tests\jfreechart\src\main\java\org\jfree\data\KeyedValueComparatorType.java,KeyedValueComparatorType,52,47,0.9038461538461539,1,0.9038461538461539
D:\Tests\jfreechart\src\main\java\org\jfree\data\KeyedValues.java,KeyedValues,89,81,0.9101123595505618,1,0.9101123595505618
D:\Tests\jfreechart\src\main\java\org\jfree\data\KeyedValues2D.java,KeyedValues2D,103,91,0.883495145631068,1,0.883495145631068
D:\Tests\jfreechart\src\main\java\org\jfree\data\KeyedValues2DItemKey.java,KeyedValues2DItemKey,141,69,0.48936170212765956,12,0.04078014184397163
D:\Tests\jfreechart\src\main\java\org\jfree\data\KeyedValuesItemKey.java,KeyedValuesItemKey,107,58,0.5420560747663551,9,0.060228452751817235
