chemin,paquet,paquet_LOC,paquet_CLOC,paquet_DC,WCP,paquet_BC
D:\Tests\jfreechart\src\test\java\org\jfree\data\gantt,src.test.java.org.jfree.data.gantt,1073,348,0.32432432432432434,42,0.007722007722007722
D:\Tests\jfreechart\src\test\java\org\jfree\data\flow,src.test.java.org.jfree.data.flow,282,155,0.549645390070922,12,0.04580378250591016
D:\Tests\jfreechart\src\main\java\org\jfree\data,src.main.java.org.jfree.data,4735,2744,0.5795142555438226,434,0.0013352863030963655
D:\Tests\jfreechart\src\main\java\org\jfree\chart\plot\pie,src.main.java.org.jfree.chart.plot.pie,4333,2103,0.4853450265405031,393,0.001234974622240466
D:\Tests\jfreechart\src\main\java\org\jfree\data\xml,src.main.java.org.jfree.data.xml,1147,703,0.6129032258064516,65,0.009429280397022333
D:\Tests\jfreechart\src\main\java\org\jfree\data\gantt,src.main.java.org.jfree.data.gantt,2268,1277,0.5630511463844797,176,0.0031991542408209075
D:\Tests\jfreechart\src\main\java\org\jfree\chart\renderer\xy,src.main.java.org.jfree.chart.renderer.xy,18269,8646,0.47326071487218785,1503,3.148773884711829E-4
D:\Tests\jfreechart\src\main\java\org\jfree\chart\plot\dial,src.main.java.org.jfree.chart.plot.dial,5544,3082,0.5559163059163059,408,0.001362539965481142
D:\Tests\jfreechart\src\main\java\org\jfree\chart\entity,src.main.java.org.jfree.chart.entity,2581,1575,0.6102285935683843,190,0.003211729439833602
D:\Tests\jfreechart\src\main\java\org\jfree\data\io,src.main.java.org.jfree.data.io,186,95,0.510752688172043,15,0.034050179211469536
D:\Tests\jfreechart\src\main\java\org\jfree\chart\encoders,src.main.java.org.jfree.chart.encoders,745,525,0.7046979865771812,26,0.027103768714506968
D:\Tests\jfreechart\src\test\java\org\jfree\data\time,src.test.java.org.jfree.data.time,7129,2182,0.30607378313929023,409,7.483466580422744E-4
D:\Tests\jfreechart\src\main\java\org\jfree\chart\title,src.main.java.org.jfree.chart.title,2130,1052,0.49389671361502346,181,0.002728711124944881
D:\Tests\jfreechart\src\test\java\org\jfree\chart\api,src.test.java.org.jfree.chart.api,87,41,0.47126436781609193,2,0.23563218390804597
D:\Tests\jfreechart\src\test\java\org\jfree\chart\renderer\category,src.test.java.org.jfree.chart.renderer.category,3770,1431,0.3795755968169761,170,0.0022327976283351538
D:\Tests\jfreechart\src\main\java\org\jfree\chart\plot,src.main.java.org.jfree.chart.plot,25028,12156,0.48569602045708804,2540,1.9121890569176694E-4
D:\Tests\jfreechart\src\test\java\org\jfree\chart\annotations,src.test.java.org.jfree.chart.annotations,2037,833,0.40893470790378006,71,0.0057596437732926765
D:\Tests\jfreechart\src\test\java\org\jfree\chart\imagemap,src.test.java.org.jfree.chart.imagemap,348,230,0.6609195402298851,14,0.04720853858784894
D:\Tests\jfreechart\src\test\java\org\jfree\data\function,src.test.java.org.jfree.data.function,388,212,0.5463917525773195,22,0.024835988753514525
D:\Tests\jfreechart\src\main\java\org\jfree\chart\api,src.main.java.org.jfree.chart.api,1359,835,0.6144223693892568,78,0.00787720986396483
D:\Tests\jfreechart\src\main\java\org\jfree\data\resources,src.main.java.org.jfree.data.resources,369,297,0.8048780487804879,12,0.06707317073170732
D:\Tests\jfreechart\src\main\java\org\jfree\chart\renderer\category,src.main.java.org.jfree.chart.renderer.category,12580,5991,0.4762321144674086,1091,4.365097291176981E-4
D:\Tests\jfreechart\src\test\java\org\jfree\data\category,src.test.java.org.jfree.data.category,1189,349,0.29352396972245587,49,0.00599028509637665
D:\Tests\jfreechart\src\test\java\org\jfree\chart\renderer\xy,src.test.java.org.jfree.chart.renderer.xy,4844,1836,0.3790255986787779,201,0.0018856994959143179
D:\Tests\jfreechart\src\test\java\org\jfree\chart\text\format,src.test.java.org.jfree.chart.text.format,347,152,0.43804034582132567,13,0.03369541121702505
