chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\maven-ift3913-tp1\src\main\java\org\ift3913\tp1\AnalyseurJava.java,AnalyseurJava,131,52,0.3969465648854962,21,0.018902217375499818
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\maven-ift3913-tp1\src\main\java\org\ift3913\tp1\ResultatAnalyseFichier.java,ResultatAnalyseFichier,20,5,0.25,1,0.25
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\maven-ift3913-tp1\src\main\java\org\ift3913\tp1\ResultatAnalysePaquet.java,ResultatAnalysePaquet,39,19,0.48717948717948717,1,0.48717948717948717
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\maven-ift3913-tp1\src\main\java\org\ift3913\tp1\TP1.java,TP1,199,78,0.39195979899497485,13,0.03015075376884422
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\maven-ift3913-tp1\src\main\java\org\ift3913\tp1\Utils.java,Utils,107,70,0.6542056074766355,12,0.05451713395638629
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\maven-ift3913-tp1\src\main\java\org\ift3913\tp1\automates\AutomateCommentaires.java,AutomateCommentaires,259,91,0.35135135135135137,34,0.010333863275039747
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\maven-ift3913-tp1\src\main\java\org\ift3913\tp1\automates\AutomateEtat.java,AutomateEtat,26,21,0.8076923076923077,1,0.8076923076923077
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\maven-ift3913-tp1\src\main\java\org\ift3913\tp1\automates\AutomateIdentifiant.java,AutomateIdentifiant,95,52,0.5473684210526316,12,0.0456140350877193
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\maven-ift3913-tp1\src\main\java\org\ift3913\tp1\automates\AutomateStrings.java,AutomateStrings,26,14,0.5384615384615384,1,0.5384615384615384
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\maven-ift3913-tp1\src\main\java\org\ift3913\tp1\automates\AutomateTernaire.java,AutomateTernaire,22,14,0.6363636363636364,1,0.6363636363636364
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\maven-ift3913-tp1\src\main\java\org\ift3913\tp1\automates\AutomateTransition.java,AutomateTransition,20,16,0.8,1,0.8
C:\Users\user\Documents\UdeM\IFT3913 - Qualité du logiciel et métriques\TP\TP1\IFT3913-TP1\maven-ift3913-tp1\src\main\java\org\ift3913\tp1\automates\ResultatTransitionAutomate.java,ResultatTransitionAutomate,10,7,0.7,1,0.7
